State/UT,Required1 (R),Sanctioned (S),In Position (P),Vacant (S-P),Shortfall (R-P)
Andhra Pradesh,223,409,389,20,Surplus
Arunachal Pradesh # (+),97,NA,92,NA,5
Assam,282,NA,139,NA,143
Bihar##,6,1,1,0,5
Chhattisgarh,403,365,170,195,233
Goa *,0,0,0,0,0
Gujarat+,358,342,246,96,112
Haryana *,0,0,0,0,0
Himachal Pradesh,43,60,38,22,5
Jammu and Kashmir,43,38,36,2,7
Jharkhand,123,NA,185,NA,Surplus
Karnataka,337,359,325,34,12
Kerala,131,222,236,Surplus,Surplus
Madhya Pradesh,328,360,211,149,117
Maharashtra++,315,334,338,Surplus,Surplus
Manipur,44,130,78,52,Surplus
Meghalaya # (+),109,127,104,23,5
Mizoram # (++),57,57,49,8,8
Nagaland #,126,NA,99,NA,27
Odisha,403,429,316,113,87
Punjab *,0,0,0,0,0
Rajasthan,156,252,231,21,Surplus
Sikkim++,12,20,15,5,Surplus
Tamil Nadu,66,116,89,27,Surplus
Tripura,35,NA,101,NA,Surplus
Uttarakhand,10,14,17,Surplus,Surplus
Uttar Pradesh,NA,NA,NA,NA,NA
West Bengal,284,139,117,22,167
Andaman and Nicobar Islands,4,9,7,2,Surplus
Chandigarh *,0,0,0,0,0
Dadra and Nagar Haveli #,6,6,6,0,0
Daman and Diu,0,0,0,0,0
Delhi *,0,0,0,0,0
Lakshadweep*,0,0,0,0,0
Puducherry *,0,0,0,0,0
